date,lender,amount,borrower,industry,structure,description,location
11/6/2017,TPG Sixth Street Partners [Lender],$400.0 MM,"Northern Oil and Gas, Inc.",Oil & Gas,First Lien Credit Facility,"A new $400 million first lien credit facility. At the closing, an initial amount of $300 million was funded – an additional $100 million of delayed draw term loans are available to the Company, subject to the satisfaction of customary conditions.  The new credit facility matures in five years and carries a floating interest rate of LIBOR, plus 7.75% (subject to a 1% LIBOR floor). The company used approximately $161 million of the initial proceeds to repay and retire its bank credit facility led by Royal Bank of Canada, which was scheduled to mature in September 2018.  Excess proceeds under the initial draw and additional availability under the new credit facility may be used for general corporate purposes, including, but not limited to, development of the Company's assets in the Williston Basin, future accretive acquisitions, and potential purchases of the company's outstanding unsecured senior notes and common shares.",
11/6/2017,"East West Bank [Lead Lender, Administrative Agent]",$50.0 MM,iGPS Logistics LLC,Logistics,Asset-based Revolver,The facility is to refinance its previously existing debt and fund the company’s working capital and capital expenditure needs (primarily growth of its pallet fleet). Transaction details not disclosed.,FL
11/6/2017,Royal Banks of Missouri [Lender],$10.0 MM,"Peak Resorts, Inc.",Hotel & Resort,Revolver,"A new revolving line of credit and renewed its $15MM acquisition line of credit. A portion of the acquisition line of credit will be used to pay off approximately $12.4 million that remained outstanding under the company's original credit facility with Royal Banks of Missouri. The two new facilities accrue interest at a rate of prime plus 1%, with outstanding principal amounts payable in full within 14 months.",
11/6/2017,"Wells Fargo Bank [Swing Line Lender, Administrative Agent]",$1.2 B,"TeleTech Holdings, Inc.",Technology,"$300MM Revolver Increase, Amendment","Third Amendment to its Amended and Restated Credit Agreement and Incremental Increase Agreement (collectively, the “Credit Agreement”) for its revolving line of credit with a syndicate of lenders. Pursuant to this Amendment, the company exercised the Credit Facility’s accordion feature to increase the total commitment by $300 million to $1.2 billion.  All other material terms of the Credit Agreement remain unchanged.  The Credit Facility expires in February 2021.",CO
11/6/2017,"Citigroup Global Markets [Joint Lead Arranger, Joint Book Manager]
JPMorgan Chase Bank [Joint Lead Arranger, Joint Book Manager]
Citibank [Administrative Agent]",$2.5 B,The Boeing Company,Aircaft,364-Day Revolver,"A $2.5 billion, 364-day revolving credit agreement. This facility replaces Boeing’s previous 364-day credit agreement, which was scheduled to terminate on November 1, 2017. Under the 364-Day Credit Agreement, Boeing will pay a fee of 0.04% per annum on the commitments. Borrowings under the 364-Day Credit Agreement that are not based on Eurodollar rates will bear interest at an annual rate equal to the highest of (1) the rate announced publicly by Citibank, from time to time, as its “base” rate, (2) the federal funds rate plus 0.50% and (3) the ICE benchmark settlement rate plus 1.00%. Borrowings under the 364-Day Credit Agreement that are based on Eurodollar rates will generally bear interest based on an applicable ICE benchmark settlement rate plus 0.835% per annum. The 364-Day Credit Agreement contains customary terms and conditions, including covenants restricting Boeing’s ability to permit consolidated debt (as defined in the agreement) in excess of 60% of Boeing’s total capital (as defined in the agreement) or to incur liens, merge or consolidate with another entity. Events of default include: (1) failure to pay outstanding principal or interest within five business days of when due, (2) determination that any representation or warranty was incorrect in any material respect when made, (3) failure to perform any other term, covenant or agreement, which failure is not remedied within 30 days of notice, (4) a cross-default with other debt in certain circumstances, (5) the incurrence of certain liabilities under the Employee Retirement Income Security Act and (6) bankruptcy and other insolvency events. If an event of default occurs and is continuing, the lenders would have the right to accelerate and require the repayment of all amounts outstanding under the applicable agreement and would not be required to advance any additional funds. The 364-Day Credit Agreement is scheduled to terminate on October 31, 2018, subject to Boeing’s right to extend the term for an additional 364 days or, following payment of additional fees, convert outstanding borrowings into term loans with a maturity date that is the one-year anniversary of the termination date.",
11/6/2017,"JPMorgan Chase Bank [Administrative Agent, Joint Lead Arranger]
Capital One [Joint Lead Arranger]
ING Capital [Joint Lead Arranger]",$500.0 MM,"Samson Resources II, LLC",Energy,Senior Secured Revolver Amendment,Senior Credit Facility is a $500 million Revolving Credit agreement with an initial borrowing base limit of $120 million. It has a three-year term and will expire in October 2020. Transaction details not disclosed.,
11/7/2017,Citizens Commercial Banking [Lead Lender],$57.5 MM,United Pipe and Steel Corp.,Manufacturing,Credit Facility,The funds will be used by United Pipe and Steel Corp. to refinance existing debt. Transaction details not disclosed.,
11/7/2017,"U.S. Bank [Administrative Agent, Sole Lead Arranger, Sole Bookrunner]
Wells Fargo Bank [Lender]",$170.0 MM,Universal Electronics Inc.,Electronics,"Revolver Amendment, Increase","Under the Second Amended Credit Agreement, the existing revolving credit line (“Credit Line”) was increased from $125.0 million to $170.0 million and the expiration date remained November 1, 2019. The Credit Line may be used for working capital and other general corporate purposes including acquisitions, share repurchases and capital expenditures. At closing, there were outstanding borrowings of $125.0 million and no outstanding letters of credit under the Second Amended Credit Agreement. Under the Second Amended Credit Agreement, the Company may elect to pay interest on the Credit Line based on LIBOR plus an applicable margin (varying from 1.25% to 1.75%) or base rate (based on the prime rate of U.S. Bank or as otherwise specified in the Second Amended Credit Agreement) plus an applicable margin (varying from 0.00% to 0.50%). The applicable margins are calculated quarterly and vary based on the Company’s cash flow leverage ratio as set forth in the Second Amended Credit Agreement. There are no commitment fees or unused line fees under the Second Amended Credit Agreement.",
11/8/2017,MidCap Business Credit LLC [Lender],$10.0 MM,"New Gift and Accessories, Ltd.",Wholesale,Asset-Based Credit Facility,The increased funding will augment the company’s existing vendor relationships and fund additional needed liquidity. Transaction details not disclosed.,PA
11/8/2017,"JPMorgan Chase Bank [Joint Lead Arranger, Administrative Agent, Collateral Agent]
Goldman Sachs Lending Partners [Joint Lead Arranger]
Citigroup Global Markets [Joint Lead Arranger]",$1.6 B,Navistar International Corporation,Transportation,Senior Secured Term Loans,"The refinancing of Navistar, Inc.'s existing approximately $1.0 billion senior secured term loan which was due to mature in August 2020 with a new $1.6 billion senior secured term loan which is due to mature in November 2024. The refinancing provides additional liquidity and financial flexibility for the company and provides for an extended maturity of the senior secured term loan facility. The interest rate with respect to the new senior secured term loan is adjusted LIBOR plus a 3.50% margin (with a LIBOR floor of 0.00%) or ABR plus a 2.50% margin (with an ABR floor of 1.00%).",
11/9/2017,Siena Lending Group LLC [Lender],$7.5 MM,B&B Bachrach,Retail,Asset-Based Revolver & FILO Term Loan,A three-year asset-based revolving credit and FILO term loan facility. The financing was completed in conjunction with Bachrach’s emergence from Chapter 11 Bankruptcy proceedings and was used to refinance existing debt and provide additional working capital to support business growth following the Company’s exit. Transaction details not disclosd.,
